area_id,ref_year,sexid,agegrpstart,nmx,nqx,ndx,npx,lx,nlx,tx,ex
AL,2010,male,1,0.00089,0.003570078,345.3681877,0.996429922,96739.68487,386114.2337,6362912.428,65.77354925
AL,2010,male,5,0.00045,0.002259073,217.7617571,0.997740927,96394.31669,481427.179,5976798.194,62.00363673
AL,2010,male,10,0.00045,0.002255532,216.929273,0.997744468,96176.55493,480340.4515,5495371.015,57.13836412
AL,2010,male,15,0.00333,0.016521436,1585.39077,0.983478564,95959.62566,475834.6514,5015030.564,52.26188128
AL,2010,male,20,0.0057,0.028103616,2652.257213,0.971896384,94374.23489,465240.5314,4539195.912,48.09783007
AL,2010,male,25,0.00531,0.026199887,2403.105466,0.973800113,91721.97767,452602.1247,4073955.381,44.4163491
AL,2010,male,30,0.00511,0.025218241,2252.464876,0.974781759,89318.87221,440963.1988,3621353.256,40.54409966
AL,2010,male,35,0.0055,0.027105183,2359.950903,0.972894817,87066.40733,429432.1594,3180390.057,36.52832539
AL,2010,male,40,0.00718,0.035251584,2986.036747,0.964748416,84706.45643,416067.1903,2750957.898,32.47636619
AL,2010,male,45,0.00926,0.045257732,3698.480829,0.954742268,81720.41968,399355.8963,2334890.708,28.57169257
AL,2010,male,50,0.01165,0.056622564,4417.802253,0.943377436,78021.93885,379065.1886,1935534.811,24.8075713
AL,2010,male,55,0.01705,0.081749815,6017.124577,0.918250185,73604.1366,352977.8716,1556469.623,21.14649658
AL,2010,male,60,0.02323,0.109756013,7418.080998,0.890243987,67587.01202,319389.8576,1203491.751,17.80655358
AL,2010,male,65,0.03121,0.144734724,8708.533634,0.855265276,60168.93102,279073.321,884101.8936,14.6936613
AL,2010,male,70,0.04886,0.217719324,11203.92291,0.782280676,51460.39739,229292.1797,605028.5725,11.75716868
AL,2010,male,75,0.07093,0.301229869,12126.45254,0.698770131,40256.47448,170966.241,375736.3928,9.333564296
AL,2010,male,80,0.10589,0.418641435,11776.39275,0.581358565,28130.02193,111209.1278,204770.1518,7.279416714
AL,2010,male,85,0.15129,0.54886908,8976.001399,0.45113092,16353.62918,59328.14242,93561.02403,5.721116884
AL,2010,male,90,0.21551,1,7377.627784,0,7377.627784,34232.88161,34232.88161,4.640093349
AL,2010,total,0,0.03103,0.030219739,3021.97388,0.969780261,100000,97403.0946,6917567.574,69.17567574
AL,2010,total,1,0.00078,0.003103561,300.9772614,0.996896439,96978.02612,387152.1047,6820164.48,70.32690551
AL,2010,total,5,0.00039,0.001952629,188.7744531,0.998047371,96677.04886,482913.3082,6433012.375,66.54125722
AL,2010,total,10,0.00043,0.002148516,207.3066186,0.997851484,96488.27441,481923.1055,5950099.067,61.66655071
AL,2010,total,15,0.00204,0.010140016,976.2905325,0.989859984,96280.96779,478964.1126,5468175.962,56.79394471
AL,2010,total,20,0.00319,0.015826897,1508.377278,0.984173103,95304.67725,472752.4431,4989211.849,52.35012586
AL,2010,total,25,0.0031,0.015362678,1440.962378,0.984637322,93796.29998,465379.0939,4516459.406,48.15178645
AL,2010,total,30,0.00326,0.016188095,1495.056969,0.983811905,92355.3376,458039.0456,4051080.312,43.86406262
AL,2010,total,35,0.00369,0.018277789,1660.725082,0.981722211,90860.28063,450149.5904,3593041.266,39.54468599
AL,2010,total,40,0.00495,0.024445213,2180.502116,0.975554787,89199.55555,440546.5224,3142891.676,35.23438717
AL,2010,total,45,0.00644,0.031671764,2756.046914,0.968328236,87019.05343,428205.1499,2702345.153,31.05463743
AL,2010,total,50,0.009,0.04399137,3706.845104,0.95600863,84263.00652,412047.9198,2274140.004,26.98859319
AL,2010,total,55,0.01316,0.063716379,5132.746872,0.936283621,80556.16141,389948.9399,1862092.084,23.11545202
AL,2010,total,60,0.01847,0.088257393,6656.673906,0.911742607,75423.41454,360475.3879,1472143.144,19.51838368
AL,2010,total,65,0.02566,0.120554985,8290.173409,0.879445015,68766.74064,323108.2697,1111667.756,16.16577644
AL,2010,total,70,0.04045,0.18367143,11107.81761,0.81632857,60476.56723,274613.2921,788559.4863,13.03909138
AL,2010,total,75,0.05656,0.247766081,12231.90163,0.752233919,49368.74961,216263.994,513946.1942,10.41035469
AL,2010,total,80,0.09027,0.368238503,13675.2173,0.631761497,37136.84799,151496.1967,297682.2001,8.015817612
AL,2010,total,85,0.13296,0.498939866,11705.94287,0.501060134,23461.63069,88043.2963,146186.0034,6.23085434
AL,2010,total,90,0.20219,1,11755.68783,0,11755.68783,58142.70714,58142.70714,4.945921327
AL,2020,female,0,0.01525,0.015041485,1504.148522,0.984958515,100000,98638.93279,7776374.937,77.76374937
AL,2020,female,1,0.00048,0.001926238,189.7264125,0.998073762,98495.85148,393509.0059,7677736.004,77.94984143
AL,2020,female,5,0.00024,0.001183734,116.3683099,0.998816266,98306.12507,491239.7046,7284226.998,74.09738705
AL,2020,female,10,0.00029,0.001463389,143.6897629,0.998536611,98189.75676,490589.5594,6792987.294,69.18223976
